21-2026760,07/09/2020,initiative,1
06-2746634,14/10/2020,challenge,1
12-2020726,15/01/2021,task-force,2
23-3076464,24/06/2020,time-frame,1
99-3295988,30/09/2020,uniform,2
60-3070681,04/11/2020,algorithm,2
90-2966445,04/07/2020,24 hour,1
16-5523007,18/11/2020,Intuitive,2
79-3173251,21/10/2020,neural-net,2
23-6962038,16/07/2020,Managed,1
45-3745943,18/11/2020,encoding,2
70-7798654,18/05/2020,intangible,2
18-5114150,08/10/2020,impactful,2
26-0145530,04/05/2020,Synergized,1
17-2090383,27/12/2020,adapter,1
01-0797717,13/05/2020,User-centric,2
13-0293658,19/02/2021,asymmetric,2
64-1067647,18/11/2020,Customizable,1
98-6234259,25/08/2020,global,1
37-1372733,08/08/2020,value-added,2
29-0606378,14/11/2020,Persevering,2
64-5134479,15/06/2020,Implemented,2
01-6639725,30/08/2020,User-centric,1
50-1625885,24/11/2020,heuristic,2
68-7078765,19/12/2020,Optional,2
38-7261771,25/02/2021,Distributed,1
37-1921113,16/11/2020,benchmark,2
91-1631793,18/01/2021,local,2
70-4285025,09/02/2021,algorithm,2
74-5782541,21/05/2020,Cloned,2
17-7041836,20/11/2020,Versatile,2
88-7866064,02/02/2021,Decentralized,2
18-6083383,18/10/2020,emulation,2
07-7249386,24/06/2020,Graphic Interface,1
91-0854431,22/07/2020,Future-proofed,2
25-8080774,19/05/2020,disintermediate,1
51-0572815,18/04/2020,executive,1
12-7849361,04/11/2020,moratorium,1
30-5050904,21/05/2020,hub,2
90-0537968,14/12/2020,Streamlined,1
51-8053550,22/06/2020,leading edge,1
65-2523380,25/10/2020,throughput,1
08-2821839,14/10/2020,Fundamental,2
83-2487737,01/11/2020,process improvement,2
73-0843460,08/01/2021,Focused,2
25-9574382,30/10/2020,client-driven,2
88-0021769,24/07/2020,grid-enabled,1
67-7983700,23/10/2020,Ameliorated,1
51-2542277,19/03/2021,Programmable,2
55-1830578,04/02/2021,utilisation,2
74-2874678,21/03/2021,secondary,1
16-1031420,14/02/2021,4th generation,1
59-1001426,05/11/2020,Optional,1
13-6116810,30/07/2020,needs-based,1
81-7082183,23/10/2020,help-desk,1
95-0160938,30/06/2020,moratorium,1
88-7093557,27/10/2020,website,2
59-1978748,08/03/2021,Profit-focused,1
57-7381235,10/03/2021,Ergonomic,1
69-0881720,05/10/2020,Seamless,1
96-5792374,20/06/2020,projection,2
82-6752540,26/12/2020,Grass-roots,1
66-1989072,26/06/2020,Universal,2
85-8226250,17/12/2020,Optional,1
21-6405722,02/05/2020,Right-sized,2
01-9241918,02/11/2020,pricing structure,2
41-2782724,31/12/2020,intangible,1
62-1756287,17/07/2020,Synchronised,2
09-0432947,17/06/2020,orchestration,2
20-9142128,28/12/2020,Versatile,1
35-5981938,06/12/2020,24 hour,1
75-6457329,07/08/2020,leading edge,2
03-6241433,28/11/2020,Re-engineered,2
19-8165657,08/08/2020,service-desk,2
48-8511701,29/09/2020,paradigm,2
49-7618915,05/09/2020,Cross-group,2
20-6698286,28/09/2020,Triple-buffered,2
72-2715573,13/11/2020,forecast,2
85-0243480,26/09/2020,capacity,2
34-5676858,20/03/2021,Persevering,2
69-1634588,30/05/2020,hybrid,1
36-3064306,18/05/2020,interface,2
77-6566143,27/09/2020,Versatile,2
19-7568486,17/06/2020,Seamless,2
98-4852302,17/06/2020,zero defect,1
68-4657951,29/11/2020,capacity,2
59-0806039,03/06/2020,intermediate,1
86-1756591,20/04/2020,internet solution,1
37-0010679,30/01/2021,needs-based,1
13-6663396,26/11/2020,Distributed,2
52-1666022,29/05/2020,foreground,2
23-2649420,09/08/2020,national,1
42-3000224,05/06/2020,Enterprise-wide,1
94-6165638,20/03/2021,tangible,2
93-6502983,06/06/2020,concept,1
26-1047214,30/07/2020,Persistent,2
11-4514168,17/05/2020,leading edge,1
71-9853115,16/08/2020,6th generation,1
12-2351598,29/12/2020,Business-focused,2
56-5467116,24/04/2020,motivating,1
64-3267115,05/07/2020,Future-proofed,1
71-9040329,20/04/2020,Proactive,1
58-2253531,21/05/2020,coherent,2
34-3036272,07/04/2021,actuating,1
18-6536631,16/08/2020,knowledge user,1
92-3345570,17/02/2021,encompassing,1
83-6151498,08/09/2020,system-worthy,1
72-3177089,23/01/2021,Reverse-engineered,2
38-3397665,23/02/2021,Up-sized,2
28-3352734,08/09/2020,knowledge base,1
28-1275479,25/02/2021,explicit,2
73-4456487,26/09/2020,support,2
23-3398427,16/10/2020,Business-focused,1
14-2551059,20/06/2020,process improvement,1
99-6214833,28/01/2021,Quality-focused,1
75-9400759,07/04/2021,matrices,1
44-7844349,19/04/2020,Integrated,1
04-7092580,02/01/2021,regional,2
67-5839527,05/11/2020,Digitized,2
84-9389472,07/03/2021,Pre-emptive,2
60-1065947,06/02/2021,Re-contextualized,2
07-8159928,17/05/2020,client-server,2
69-1887985,14/12/2020,neutral,2
20-7875298,07/10/2020,adapter,1
01-1603718,07/04/2021,object-oriented,1
16-1879713,30/01/2021,Reverse-engineered,1
07-6755059,31/03/2021,grid-enabled,2
10-4187255,17/01/2021,Upgradable,1
96-9012653,18/07/2020,tangible,1
46-7248482,15/07/2020,didactic,1
97-3100788,26/01/2021,uniform,2
08-9959342,10/09/2020,system-worthy,2
71-1214372,19/08/2020,Visionary,1
55-4518932,14/12/2020,Diverse,2
66-9704849,04/09/2020,paradigm,1
30-0146681,13/08/2020,firmware,2
98-0405024,13/05/2020,Object-based,2
69-4636824,23/01/2021,paradigm,1
22-9719505,27/03/2021,ability,1
45-4876961,26/04/2020,Team-oriented,2
56-3473803,11/05/2020,multimedia,2
75-3071061,06/06/2020,demand-driven,1
58-9030462,25/09/2020,frame,2
64-1596098,11/04/2021,Multi-lateral,1
79-3092051,12/03/2021,function,2
99-5199140,07/10/2020,zero defect,1
16-2109055,07/02/2021,Function-based,1
35-2730359,21/06/2020,hybrid,1
95-5546243,02/01/2021,User-friendly,2
12-1650082,28/07/2020,Vision-oriented,1
64-5868773,09/05/2020,solution-oriented,2
60-9572593,14/02/2021,artificial intelligence,1
98-7019314,06/06/2020,Sharable,1
46-8730874,15/09/2020,instruction set,2
